tweet_id,retweet_count,favorite_count
892420643555336193,7725,36276
892177421306343426,5712,31281
891815181378084864,3786,23550
891689557279858688,7878,39567
891327558926688256,8496,37787
891087950875897856,2847,19039
890971913173991426,1854,11083
890729181411237888,17234,61131
890609185150312448,3921,26195
890240255349198849,6710,29929
890006608113172480,6699,28811
889880896479866881,4559,26209
889665388333682689,9149,45131
889638837579907072,4100,25406
889531135344209921,2060,14208
889278841981685760,4870,23664
888917238123831296,4112,27346
888804989199671297,3877,24035
888554962724278272,3182,18558
888078434458587136,3164,20459
887705289381826560,4916,28407
887517139158093824,10761,43588
887473957103951883,16445,64603
887343217045368832,9563,31619
887101392804085760,5449,28770
886983233522544640,7014,32822
886736880519319552,2937,11261
886680336477933568,4085,21118
886366144734445568,2894,19873
886267009285017600,4,111
886258384151887873,5768,26306
886054160059072513,100,0
885984800019947520,6140,30593
885528943205470208,5842,33770
885518971528720385,3408,19245
885311592912609280,16929,0
885167619883638784,3997,20569
884925521741709313,16542,72491
884876753390489601,5104,26177
884562892145688576,4299,22821
884441805382717440,5209,25451
884247878851493888,18579,68222
884162670584377345,2738,19173
883838122936631299,3142,20543
883482846933004288,9030,43049
883360690899218434,3384,21307
883117836046086144,6070,34848
882992080364220416,3560,22441
882762694511734784,4475,26571
882627270321602560,5556,26310
882268110199369728,10581,42134
882045870035918850,4470,27539
881906580714921986,3110,22865
881666595344535552,9765,47596
881633300179243008,7,118
881536004380872706,14599,46482
881268444196462592,4821,21842
880935762899988482,2552,16050
880872448815771648,3504,20012
880465832366813184,5689,26786
880221127280381952,3812,25354
880095782870896641,3974,25969
879862464715927552,3203,21022
879674319642796034,10,296
879492040517615616,2915,22074
879415818425184262,40672,99433
879376492567855104,2864,15802
879130579576475649,6231,0
879050749262655488,4296,21195
879008229531029506,2459,17868
878776093423087618,3746,18206
878604707211726852,6511,28351
878404777348136964,1181,0
878316110768087041,6105,0
878281511006478336,1181,7275
878057613040115712,6231,39616
877736472329191424,17376,74654
877611172832227328,73,0
877556246731214848,3494,21368
877316821321428993,4772,25792
877201837425926144,5120,25503
876838120628539392,3060,19483
876537666061221889,4304,22274
876484053909872640,2178,17674
876120275196170240,4292,26358
875747767867523072,3922,23708
875144289856114688,4512,20645
875097192612077568,5591,25874
875021211251597312,4341,24029
874680097055178752,4262,26223
874434818259525634,13376,0
874296783580663808,3780,24575
874057562936811520,3664,21440
874012996292530176,9447,32374
873580283840344065,3624,22864
873337748698140672,1473,0
873213775632977920,1473,6773
872967104147763200,4999,25777
872820683541237760,3435,13935
872620804844003328,3367,19579
872486979161796608,8347,38538
872122724285648897,7482,32468
871879754684805121,10166,35568
871762521631449091,3233,19147
871515927908634625,3222,19112
871166179821445120,5290,0
871102520638267392,5112,19827
871032628920680449,3550,21555
870804317367881728,5741,31894
870726314365509632,3,115
870656317836468226,2453,11727
870374049280663552,24584,78678
870308999962521604,3861,20794
870063196459192321,7731,34677
869772420881756160,9404,40387
869702957897576449,5869,26834
869596645499047938,2909,15166
869227993411051520,3522,19415
868880397819494401,13454,62211
868639477480148993,1938,0
868622495443632128,4949,25403
868552278524837888,1938,9603
867900495410671616,3908,23047
867774946302451713,6874,32372
867421006826221569,2329,15338
867072653475098625,112,0
867051520902168576,7381,30719
866720684873056260,4490,19113
866686824827068416,3274,18406
866450705531457537,33031,116639
866334964761202691,13376,50045
866094527597207552,7864,0
865718153858494464,5281,24505
865359393868664832,4706,25303
865006731092295680,7237,26783
864873206498414592,8175,30868
864279568663928832,2843,13945
864197398364647424,8334,28716
863907417377173506,3900,19724
863553081350529029,3945,14624
863471782782697472,2293,0
863432100342583297,4949,22788
863427515083354112,90,2114
863079547188785154,1048,8424
863062471531167744,2293,8116
862831371563274240,4860,18405
862722525377298433,3343,16406
862457590147678208,4661,19638
862096992088072192,21895,71298
861383897657036800,10136,34671
861288531465048066,3919,16497
861005113778896900,3614,16053
860981674716409858,2037,0
860924035999428608,761,0
860563773140209665,2037,7205
860524505164394496,5042,22735
860276583193509888,3328,17687
860184849394610176,5558,16074
860177593139703809,29391,0
859924526012018688,3900,18859
859851578198683649,3337,14865
859607811541651456,1488,17954
859196978902773760,28710,86682
859074603037188101,12993,32639
858860390427611136,7740,0
858843525470990336,3325,15042
858471635011153920,4639,20778
858107933456039936,2779,15226
857989990357356544,2481,15563
857746408056729600,10170,33144
857393404942143489,1572,5703
857263160327368704,4329,19431
857214891891077121,17,219
857062103051644929,163,0
857029823797047296,3821,18283
856543823941562368,2773,15847
856526610513747968,1803,11519
856330835276025856,646,0
856288084350160898,15,499
856282028240666624,6051,26952
855862651834028034,25,328
855860136149123072,941,4787
855857698524602368,2038,11545
855851453814013952,17374,44466
855818117272018944,5236,25950
855459453768019968,7938,29054
855245323840757760,5762,0
855138241867124737,43,0
854732716440526848,5869,22203
854482394044301312,6659,28612
854365224396361728,4542,18457
854120357044912130,7245,31266
854010172552949760,3056,15880
853760880890318849,5578,27969
853639147608842240,9766,33950
853299958564483072,3459,15173
852936405516943360,1943,0
852912242202992640,1769,8864
852672615818899456,2104,14623
852553447878664193,3385,16003
852311364735569921,9708,32552
852226086759018497,6686,19637
852189679701164033,1554,11265
851861385021730816,19,0
851591660324737024,3402,16008
851464819735769094,6906,23884
851224888060895234,5615,20362
850753642995093505,8958,30364
850380195714523136,2563,12917
850333567704068097,321,3410
850145622816686080,3721,16114
850019790995546112,4785,20145
849776966551130114,7461,30050
849668094696017920,4873,0
849412302885593088,3105,15676
849336543269576704,1869,11287
849051919805034497,8347,41854
848690551926992896,4253,24923
848324959059550208,4550,24451
848213670039564288,721,8090
848212111729840128,2996,16157
847978865427394560,3212,0
847971574464610304,425,0
847962785489326080,5011,23286
847842811428974592,1316,5394
847617282490613760,410,6925
847606175596138505,3383,18596
847251039262605312,4263,20326
847157206088847362,5776,19716
847116187444137987,3142,21296
846874817362120707,3884,19932
846514051647705089,11431,44284
846505985330044928,3040,14000
846153765933735936,8950,31401
846139713627017216,9911,30822
846042936437604353,2834,15876
845812042753855489,8616,29048
845677943972139009,4748,25038
845397057150107648,1788,7594
845306882940190720,5343,23211
845098359547420673,7584,0
844979544864018432,2534,13563
844973813909606400,3162,15005
844580511645339650,3101,16395
844223788422217728,2181,13588
843981021012017153,2924,15124
843856843873095681,4584,21373
843604394117681152,2727,16825
843235543001513987,5986,21432
842846295480000512,3618,15242
842765311967449089,1275,6714
842535590457499648,3485,18056
842163532590374912,5762,24394
842115215311396866,3015,13951
841833993020538882,15027,0
841680585030541313,7774,25681
841439858740625411,3671,12634
841320156043304961,5481,19781
841314665196081154,4634,15815
841077006473256960,5290,22845
840761248237133825,1763,0
840728873075638272,16091,0
840698636975636481,2,174
840696689258311684,972,12285
840632337062862849,1763,8997
840370681858686976,4531,16456
840268004936019968,5720,19261
839990271299457024,2275,13418
839549326359670784,7740,27485
839290600511926273,143,0
839239871831150596,6529,27139
838952994649550848,4001,19671
838921590096166913,2063,11178
838916489579200512,35,0
838831947270979586,11005,0
838561493054533637,1338,10955
838476387338051585,4774,22541
838201503651401729,10067,0
838150277551247360,332,1676
838085839343206401,1,139
838083903487373313,3140,17666
837820167694528512,7864,34205
837482249356513284,443,3855
837471256429613056,2275,12841
837110210464448512,2370,16111
836989968035819520,2294,12808
836753516572119041,4653,19378
836677758902222849,2231,12648
836648853927522308,556,0
836397794269200385,27573,0
836380477523124226,2996,14812
836260088725786625,4314,21380
836001077879255040,4276,19152
835685285446955009,8159,0
835574547218894849,3636,17857
835536468978302976,1705,0
835309094223372289,21022,0
835297930240217089,3025,16540
835264098648616962,1705,7767
835246439529840640,73,2111
835172783151792128,5790,26288
835152434251116546,3032,22519
834931633769889797,1650,10853
834786237630337024,5523,21449
834574053763584002,2552,13729
834477809192075265,10701,0
834458053273591808,1693,9671
834209720923721728,4777,20706
834167344700198914,3682,15911
834089966724603904,2148,10112
834086379323871233,2222,13143
833863086058651648,2420,13494
833826103416520705,3798,18156
833732339549220864,222,0
833722901757046785,3242,20913
833479644947025920,2063,14923
833124694597443584,4873,20329
832998151111966721,2216,13350
832769181346996225,39,0
832757312314028032,3654,16963
832682457690300417,2939,11957
832645525019123713,535,2952
832636094638288896,2810,15951
832397543355072512,2234,12037
832369877331693569,3212,17292
832273440279240704,2354,11423
832215909146226688,6251,0
832215726631055365,9408,0
832088576586297345,2,62
832040443403784192,9695,0
832032802820481025,4695,18001
831939777352105988,6184,24189
831926988323639298,34,339
831911600680497154,6560,27810
831670449226514432,1839,10525
831650051525054464,1943,7203
831552930092285952,2331,9048
831322785565769729,1564,9340
831315979191906304,1134,6592
831309418084069378,2483,11847
831262627380748289,2065,12004
830956169170665475,1510,8044
830583320585068544,16929,67408
830173239259324417,5739,0
830097400375152640,2976,9893
829878982036299777,5070,0
829861396166877184,1969,12328
829501995190984704,10701,32041
829449946868879360,2043,10543
829141528400556032,7432,24618
829011960981237760,16460,53581
828801551087042563,3450,0
828770345708580865,5929,25824
828708714936930305,11293,36849
828650029636317184,1364,9598
828409743546925057,1176,6408
828408677031882754,1305,7745
828381636999917570,2235,12703
828376505180889089,1082,7449
828372645993398273,2973,12673
828361771580813312,173,2217
828046555563323392,2904,11870
828011680017821696,2169,10450
827933404142436356,5308,20309
827653905312006145,3050,15649
827600520311402496,954,7514
827324948884643840,3092,16020
827199976799354881,2247,10686
826958653328592898,5070,21799
826848821049180160,10300,36750
826615380357632002,4032,0
826598799820865537,256,5170
826598365270007810,2371,10147
826476773533745153,4245,18619
826240494070030336,2640,13453
826204788643753985,936,4930
826115272272650244,3175,15835
825876512159186944,1898,10599
825829644528148480,2521,12869
825535076884762624,17746,57439
825147591692263424,4604,18525
825120256414846976,1279,0
825026590719483904,1279,6381
824796380199809024,5567,0
824775126675836928,3568,15121
824663926340194305,1767,10222
824325613288833024,10657,11965
824297048279236611,3920,15246
824025158776213504,605,4885
823939628516474880,2748,10755
823719002937630720,11363,0
823699002998870016,2553,14166
823581115634085888,2663,13202
823333489516937216,25,707
823322678127919110,4089,15937
823269594223824897,10042,0
822975315408461824,3502,17529
822872901745569793,43934,133322
822859134160621569,2321,13463
822647212903690241,6506,0
822610361945911296,3002,15025
822489057087389700,6506,18395
822462944365645825,14564,28453
822244816520155136,10042,35429
822163064745328640,4857,0
821886076407029760,2351,11474
821813639212650496,3407,0
821765923262631936,1682,8535
821522889702862852,1796,8147
821421320206483457,5690,0
821407182352777218,4414,11952
821153421864615936,10,259
821149554670182400,2026,8777
821107785811234820,2172,9741
821044531881721856,2320,12841
820837357901512704,6853,0
820749716845686786,10067,32041
820690176645140481,3285,12392
820494788566847489,573,0
820446719150292993,2613,0
820314633777061888,573,3395
820078625395449857,6403,20121
820013781606658049,1199,0
819952236453363712,1199,5409
819924195358416896,4954,13091
819711362133872643,3169,13602
819588359383371776,2024,9791
819347104292290561,1230,7326
819238181065359361,414,2308
819227688460238848,6853,23441
819015337530290176,37499,0
819015331746349057,19287,0
819006400881917954,19287,45978
819004803107983360,37499,88234
818646164899774465,21391,0
818627210458333184,7676,22777
818614493328580609,2612,10003
818588835076603904,6266,0
818536468981415936,2510,11085
818307523543449600,8252,0
818259473185828864,2312,11213
818145370475810820,2618,12499
817908911860748288,818,4941
817827839487737858,27573,52572
817777686764523521,2744,10919
817536400337801217,3026,11967
817502432452313088,3463,0
817423860136083457,15026,34445
817415592588222464,972,5700
